2026-08-01 08:00,TL0001,10
2026-08-01 08:00,TL0002,5
2026-08-01 08:00,TL0003,40
2026-08-01 08:00,TL0004,0
2026-08-01 08:05,TL0001,20
2026-08-01 08:05,TL0002,5
2026-08-01 08:05,TL0003,40
2026-08-01 08:05,TL0004,0
2026-08-01 08:10,TL0001,30
2026-08-01 08:10,TL0002,5
2026-08-01 08:10,TL0003,40
2026-08-01 08:10,TL0004,1
2026-08-01 09:00,TL0001,20
2026-08-01 09:00,TL0002,25
2026-08-01 09:00,TL0003,0
2026-08-01 09:00,TL0004,30
2026-08-01 09:05,TL0001,20
2026-08-01 09:05,TL0002,15
2026-08-01 09:05,TL0003,0
2026-08-01 09:05,TL0004,30
2026-08-01 09:10,TL0001,10
2026-08-01 09:10,TL0002,10
2026-08-01 09:10,TL0003,0
2026-08-01 09:10,TL0004,30
